Month,Day,TOTALDEMAND,YEAR,relative_humidity,dew_temp,max_temp,min_temp,temp2m,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
6,3,275434.51,2016,86.77,7.58,15,6.47,9.73,2.35,1.93,4.58,2.65,3.41,2.28
6,4,245528.66,2016,98.24,10.59,13.04,9.27,10.9,2.34,1.45,5.08,2.7,3.64,2.28
6,5,232105.61,2016,93.04,9.63,14.05,6.65,10.78,0.34,0.19,5.35,3.16,3.71,2.37
6,6,269659.51,2016,91.46,6.92,12.05,5.68,8.26,5.08,2.83,6.6,5.46,5.99,3.94
6,7,270612.01,2016,94.09,9.05,13.4,6.97,10.01,6.2,3.59,9.59,6.88,7.74,5.27
6,8,274610.71,2016,92.21,8.83,11.89,8.37,10.03,6.32,3.73,12.37,9.15,8.62,6.25
6,9,265718.61,2016,90.55,9.06,13.01,8.09,10.54,6.87,3.88,10.74,7.75,8.23,5.59
6,10,264419.03,2016,88.86,7.61,13.05,6.46,9.39,6.6,4,9.19,7.22,7.64,5.15
6,11,241506.86,2016,81.11,4.44,11.67,4.81,7.6,6,3.41,9.88,7.62,7.97,5.18
6,12,245543.06,2016,76.54,3.56,13.07,3.41,7.49,2.07,1.48,6.3,3.51,3.92,2.7
6,13,244213.9,2016,76.34,2.34,12.13,2.4,6.24,3.33,2.31,8.2,6.7,6.64,4.45
6,14,276933.12,2016,85.52,5.35,14.22,3.94,7.66,2.71,1.69,8.2,6.25,6.07,4.23
6,15,281809.18,2016,85.55,6.05,15.54,4.15,8.34,1.66,1.12,6.55,3.77,3.93,2.57
6,16,281482.33,2016,88.57,6.02,11.58,3.56,7.92,6.35,3.78,10.25,8,8.52,6.07
6,17,276046.22,2016,94.87,10.54,13.7,10.17,11.33,2.67,1.55,8.96,6.07,5.16,3.33
6,18,246324.37,2016,90.04,7.64,11.04,6.37,9.2,4.16,2.54,5.81,4.25,5.04,3.39
6,19,239324.33,2016,92.66,7.41,11.55,6.27,8.58,1.39,0.96,6.51,4.07,3.48,2.35
6,20,268870.23,2016,95.14,9.79,11.77,8.83,10.54,6.33,3.72,9.38,7.4,7.83,5.48
6,21,275022.63,2016,89.79,7.47,10.95,7.25,9.05,6.36,3.66,11.18,8.83,8.95,6.4
6,22,267626.57,2016,85.29,7.21,12.59,6.73,9.55,7.86,4.66,11.4,8.87,9.61,6.63
6,23,273480.01,2016,84.56,5.86,12.7,5.32,8.31,5.51,3.48,16.55,12.85,10.96,8.21
6,24,289316.76,2016,91.92,3.66,6.41,3.61,4.89,5.9,3.92,10.9,8.52,8.09,5.6
6,25,263461.67,2016,85.26,3.62,10.32,2.33,5.99,1.48,1.13,7.67,4.41,4.39,2.92
6,26,252911.87,2016,86,2.7,9.34,1.22,4.89,4.37,2.8,7.51,6.23,6.2,4.15
6,27,297279.99,2016,87.31,3.47,10.46,2.39,5.5,3.95,2.24,7.23,4.79,5.97,3.91
6,28,284292.62,2016,91.69,5.88,13.02,2.87,7.3,5.39,2.66,8.01,5.25,6.65,4.25
6,29,272143.93,2016,82.95,5.66,12.9,5.55,8.43,5.9,3.83,10.95,7.76,8.1,5.45
6,30,282156.92,2016,85.52,4.28,7.53,5.55,6.55,8.86,5.59,13.99,11.01,11.18,8.38
7,1,267800.48,2016,87.32,6.79,11.73,6.99,8.8,5.68,3.28,8.26,6.27,7.39,4.84
7,2,237367.13,2016,87.41,7.76,14.14,7.89,9.76,5.9,3.07,7.8,5.83,7.01,4.33
7,3,225112.81,2016,88.35,7.55,13.57,6.89,9.37,6.38,3.75,8.95,6.88,7.71,4.91
7,4,271424.49,2016,88.54,6.1,10.23,6.73,7.86,4.62,2.66,8.31,6.33,7.05,4.75
7,5,284803.59,2016,95.54,7.43,9.73,6.19,8.18,2.34,1.5,9.79,7.23,6.25,4.51
7,6,268112.19,2016,92.07,8.67,10.98,8.94,9.89,6.84,4.18,10.67,8.38,9.02,6.51
7,7,277536.09,2016,96.07,8.5,10.68,7.68,9.09,3.62,2.3,6.51,3.95,5.09,3.27
7,8,273380.1,2016,92.34,8.21,12.58,7.17,9.4,0.53,0.32,3.85,2.26,2.38,1.56
7,9,244739.07,2016,86.42,6.44,12.92,5.63,8.6,0.47,0.41,4.82,2.75,2.79,1.87
7,10,238436.46,2016,91.72,7.24,11.43,5.52,8.52,4.46,2.51,15.05,11.04,9.26,6.6
7,11,256414.25,2016,81.93,7.55,12.32,9.39,10.5,11.91,8.41,15.43,11.96,13.4,9.86
7,12,275164.39,2016,83.21,4.94,9.6,4.68,7.72,11.18,8,17.66,13.54,14.44,10.84
7,13,291456.52,2016,81.7,3.29,9.59,4.22,6.2,8.72,5.38,14.46,10.86,11.17,7.97
7,14,288207.41,2016,84.3,5.02,11.82,3.85,7.56,7.67,4.69,10.22,8.02,8.58,5.73
7,15,282333.7,2016,85.35,6.53,12.99,5.83,8.86,3.72,2.09,7.55,4.66,5.39,3.51
7,16,241318.3,2016,83.01,5.11,12.97,3.81,7.83,0.37,0.38,5.03,3.07,2.7,1.86
7,17,226836.25,2016,86.44,5.67,13.83,2.64,7.86,5.36,3.19,10,7.66,7.86,5.26
7,18,254734.03,2016,87.55,8.82,15.84,8.02,10.84,5.42,2.91,11.75,8.88,8.87,6.13
7,19,274056.1,2016,86.36,8.42,13.81,8.01,10.6,1.1,0.74,4.91,2.96,3.13,2.03
7,20,273700.28,2016,89.91,8.1,13.37,7.24,9.66,0.73,0.64,3.44,2.02,2.01,1.44
7,21,272254.25,2016,91.47,9.2,15.25,6.04,10.61,1.84,1.31,11.61,8.92,7.03,4.83
7,22,257555.64,2016,85.07,9.58,14.9,8.2,12.06,6,3.46,14.26,10.71,11.35,8.15
7,23,239777.15,2016,80.2,3.14,8.89,3.11,6.42,6.72,3.96,14.54,10.96,10.49,7.58
7,24,240253.81,2016,86.87,3.43,10.02,1.8,5.52,6.52,3.83,11.22,8.93,8.37,6
7,25,276269.27,2016,82.56,5.05,11.45,5.17,7.87,7.53,4.57,17.29,12.87,11.13,7.98
7,26,292931.38,2016,77.86,2.34,8.19,3.15,5.92,7.13,5.04,12.89,9.68,10.36,7.46
7,27,286419.51,2016,81.57,4.66,11.01,5.25,7.67,7.45,4.24,12.3,9.27,8.46,5.82
7,28,284683.27,2016,87.93,6.45,12.52,4.71,8.4,7.37,4.02,8.81,6.55,7.94,5.11
7,29,279645.86,2016,91.59,8.06,11.82,7.84,9.36,4.59,2.67,9.22,7.07,7.69,5.17
7,30,243097.07,2016,88.84,7.74,12.83,6.55,9.49,3.92,2.46,12.9,9.55,8.63,6.24
7,31,228962.56,2016,81.04,7.21,14.18,6.91,10.34,2.76,2.23,12.61,9.15,6.65,4.27
8,1,270785.51,2016,89.16,8.29,11.74,7.52,10,4.92,2.8,9.6,7.45,7.91,5.41
